Hyper Real,主题1超真实
mosaic art,构图2马赛克艺术
photomosaic,构图2马赛克拼图
move chart,构图2动作演示图
seating chart,构图2座次表
social media composition,构图3社交媒体整合
sketch,画风1草图
cosplay,画风1角色扮演
traditional media,画风1手绘
dakimakura (medium),画风1抱枕
realistic,画风1现实的/真实的
retro artstyle,画风1赛璐璐/复古艺术
style parody,画风1画风模仿
painting (medium),画风1传统绘图工具
marker (medium),画风1马克笔风格
graphite (medium),画风1铅笔画/炭笔画
watercolor (medium),画风1水彩
unfinished,画风1未完成的
flat color,画风1平涂风格
colored pencil (medium),画风1彩色铅笔画
surreal,画风1怪诞的/超现实主义
abstract,画风1抽象
millipen (medium),画风1毫厘笔
faux traditional media,画风1仿手绘
fourth wall,画风1虚实穿插/现实感/次元壁
cyberpunk,画风1赛博朋克
fine art parody,画风2对某美术品的模仿/模仿名画
nib pen (medium),画风2蘸水笔画风
variations,画风2(变装、变化、变色、成长)对比图
faux figurine,画风2仿手办风格
acrylic paint (medium),画风2亚克力画风
art nouveau,画风2新艺术
color trace,画风2原画
photorealistic,画风2很像照片的画
expression chart,画风2角色的多表情展示
watercolor pencil (medium),画风2彩铅
calligraphy brush (medium),画风2书法毛笔
ink (medium),画风2墨水
ballpoint pen (medium),画风2圆珠笔
nihonga,画风2日本画
pastel (medium),画风2像粉笔蜡笔作画的
mousepad (medium),画风2手绘板
oil painting (medium),画风2油画风格
ligne claire,画风2白描
pen (medium),画风2钢笔
ukiyo e,画风2浮世绘
color ink (medium),画风3彩色墨水
minimalism,画风3极简主义
brush (medium),画风3刷子
lego (medium),画风3乐高
impressionism,画风3印象派
crayon (medium),画风3蜡笔
airbrush (medium),画风3喷枪
coupy pencil (medium),画风3Coupy 铅笔
art deco,画风3装饰艺术
gouache (medium),画风3水粉
charcoal (medium),画风3炭笔
sumi e,画风3墨绘
canvas (medium),画风3画布
calligraphy pen (medium),画风3书法笔
print (medium),画风3印刷品
cursor (medium),画风3光标
clay (medium),画风3黏土
amigurumi (medium),画风3钩织玩偶/毛线娃娃
swapnote (medium),画风3交换笔记
graffiti (medium),画风3涂鸦
whiteboard (medium),画风4白板
book cover (medium),画风4书本封面
flame painter,画风4Flame Painter (工具)
fudepen (medium),画风4墨笔/毛钢笔
leaf (medium),画风4树叶
theatre (medium),画风4剧场
brushpen (medium),画风4毛笔
chalk (medium),画风4粉笔
google sketchup (medium),画风4Google Sketchup
washi tape (medium),画风4和纸胶带
disc (medium),画风4碟片
g pen medium,画风4G 笔
illustrator (medium),画风4Illustrator
porcelain (medium),画风4瓷器
tempera (medium),画风4蛋彩画
alphonse mucha,画风4阿尔丰斯·慕夏
pastel color,画风4粉彩
monochrome,色彩1单色画
greyscale,色彩1纯黑白色/黑白照片化/灰度
gradient,色彩1渐变色
spot color,色彩1黑白画中的少量颜色
blue theme,色彩1蓝色
limited palette,色彩1色块风格
colorized,色彩1上色
pink theme,色彩1粉色主题
partially colored,色彩1部分上色
purple theme,色彩1紫色
red theme,色彩1红色/红色主题
rainbow,色彩1彩虹
sepia,色彩1深棕色/乌贼墨色
green theme,色彩1绿色主题
yellow theme,色彩1黄色主题
muted color,色彩1哑光
colorful,色彩1五彩斑斓的
brown theme,色彩1棕色主题
anime coloring,色彩1动画上色
white theme,色彩1白色主题
orange theme,色彩2橙色
high contrast,色彩2高对比度
rainbow order,色彩2彩虹色序排列
pale color,色彩2苍白的颜色
color connection,色彩2色彩关联
aqua theme,色彩2水蓝色
black theme,色彩2黑色主题
greyscale with colored background,色彩2黑白角色与有色背景
pastel colors,色彩2柔和色彩
grey theme,色彩2灰色
cel shading,色彩2卡通渲染
inverted colors,色彩2色彩反转
neon palette,色彩2霓虹色彩
ff gradient,色彩2最终幻想式渐变
colored with greyscale background,色彩2有色角色与黑白背景
cowboy shot,视角1七分身镜头
from behind,视角1背影
from side,视角1角色的侧面
dutch angle,视角1德式倾斜镜头
multiple views,视角1多视图
pov,视角1主观视角
from above,视角1俯视镜头
from below,视角1仰视镜头
close up,视角1特写镜头
upside down,视角1倒挂的
blurry foreground,视角1前景模糊
wide shot,视角1广角镜头
perspective,视角1透视画法
between fingers,视角1(突出)指间
hatching (texture),视角1线影法(纹理)
fisheye,视角1鱼眼镜头
breast conscious,视角1对胸部在意
sideways,视角1横向显示的
vanishing point,视角1远景透视画法
from outside,视角2室外看向室内(的镜头)
cut in,视角2插入画面
rotated,视角2经过旋转的
panorama,视角2全景
atmospheric perspective,视角2大气距离感
first person view,视角2第一人称视角
three sided view,视角2三视图
alternate costume,艺术破格1角色换装
alternate hairstyle,艺术破格1与原设不同发型变化
aged down,艺术破格1年龄减少
genderswap,艺术破格1性转
adapted costume,艺术破格1原设服装改编
no headwear,艺术破格1去掉了(原设有的)头饰
genderswap (mtf),艺术破格1女体化
personification,艺术破格1拟人化
alternate breast size,艺术破格1贫乳化/爆乳化
aged up,艺术破格1年龄增加
hair down,艺术破格1披下来的头发
contemporary,艺术破格1现代改编
enmaided,艺术破格1女仆装
alternate color,艺术破格1异色
alternate hair length,艺术破格1与原设不同头发长度变化
character doll,艺术破格1角色公仔
alternate eye color,艺术破格1与原设不同瞳色
hair up,艺术破格1盘起来的头发
alternate hair color,艺术破格1与原设不同发色变化
dark persona,艺术破格1黑化
genderswap (ftm),艺术破格2男体化
animalization,艺术破格2动物化
costume switch,艺术破格2服饰互换
fusion,艺术破格2融合/合体
humanization,艺术破格2拟人化
alternate universe,艺术破格2异世界
alternate headwear,艺术破格2与原设不同头饰变化
no eyewear,艺术破格2去掉了(原设有的)眼镜
if they mated,艺术破格2假如这两个角色有孩子了
no wings,艺术破格2去掉了(原设有的)翅膀
monsterification,艺术破格2魔物化
role reversal,艺术破格2角色转换
age progression,艺术破格2年龄段展现
alternate skin color,艺术破格2与原设不同肤色变化
mechanization,艺术破格2机械化
alternate weapon,艺术破格2与原设不同武器变化
furrification,艺术破格2多毛化
player 2,艺术破格22P玩家角色风格颜色替换
no tail,艺术破格2无尾化
objectification,艺术破格2物品化
unusually open eyes,艺术破格3(与原设不同)睁眼
alternate wings,艺术破格3与原设不同翅膀
personality switch,艺术破格3人格替换
no mask,艺术破格3去掉了(原设有的)面具
age comparison,艺术破格3年龄对比
out of character,艺术破格3不符角色原本性格
headwear switch,艺术破格3头饰互换
palette swap,艺术破格3色调互换
zombification,艺术破格3僵尸化
light persona,艺术破格3美化
foodification,艺术破格3食物化
alternate element,艺术破格3与原设不同元素
no animal ears,艺术破格3去掉了(原设有的)兽耳
no horn,艺术破格3无角化
vehicalization,艺术破格3载具化
slimification,艺术破格3史莱姆化
costume combination,艺术破格3服装组合
no fire,艺术破格3无火化
blurry,滤镜1模糊的
sparkle,滤镜1闪耀效果
depth of field,滤镜1背景虚化
别名：,滤镜1focus blur
motion lines,滤镜1体现运动的线
foreshortening,滤镜1正前缩距透视法
lens flare,滤镜1镜头光晕
别名：,滤镜1lensflare
backlighting,滤镜1逆光
jpeg artifacts,滤镜1JPEG 压缩失真
emphasis lines,滤镜1集中线
motion blur,滤镜1动态模糊
silhouette,滤镜1剪影
chromatic aberration,滤镜1色差
halftone,滤镜1一种漫画中常见的网点状的组色组图画法
speed lines,滤镜1速度线
bokeh,滤镜1背景散焦
film grain,滤镜1胶片颗粒感/老电影滤镜
drop shadow,滤镜1立绘阴影
diffraction spikes,滤镜1衍射十字星
bloom,滤镜2盛开
caustics,滤镜2焦散
别名：,滤镜2caustic lighting
multiple monochrome,滤镜2多个单色结构拼接成的
dithering,滤镜2抖动
blending,滤镜2混合
vignetting,滤镜2晕影
scanlines,滤镜2扫描线
overexposure,滤镜2过曝
lens flare abuse,滤镜2镜头光晕滥用
optical illusion,滤镜2视错觉
chiaroscuro,滤镜2明暗对比
stereogram,滤镜2立体画
image fill,滤镜2图像填充
anaglyph,滤镜2互补色
cinematic lighting,滤镜2电影光效
glowing light,滤镜2荧光
god rays,滤镜2自上而下的光
ray tracing,滤镜2光线追踪
reflection light,滤镜2反射光
chromatic aberration abuse,滤镜3色差滥用
burger,食物1汉堡包
sushi,食物1寿司
pizza,食物1披萨
baozi,食物1包子
sandwich,食物1三明治
bento,食物1便当
curry,食物1咖喱
omelet,食物1煎蛋卷
french fries,食物1炸薯条
makizushi,食物1寿司巻
takoyaki,食物1章鱼烧
curry rice,食物1咖喱饭
soup,食物1汤
tempura,食物1天妇罗
hot dog,食物1热狗
holding pizza,食物1拿着披萨
dumpling,食物1饺子
pizza slice,食物1切下的一块比萨
salad,食物1沙拉
shrimp tempura,食物1虾天妇罗
crumbs,食物2面包屑
pizza box,食物2披萨盒
tofu,食物2豆腐
party,食物2派对
aburaage,食物2油炸豆腐
oden,食物2关东煮
jiaozi,食物2饺子
narutomaki,食物2鸣门卷
nigirizushi,食物2手握寿司
zouni soup,食物2日式烩年糕
nabe,食物2火锅
corn dog,食物2玉米热狗
miso soup,食物2味噌
croquette,食物2炸丸
canned food,食物2罐头食品
breakfast,食物2早餐
salt,食物2盐
mapo tofu,食物2麻婆豆腐
birthday party,食物2生日聚会
tea party,食物2茶会
okonomiyaki,食物3什锦煎饼
flour,食物3面粉
taco,食物3炸玉米饼
dinner,食物3晚餐
meal,食物3一顿饭
pizza delivery,食物3披萨递送
gunkanmaki,食物3军舰卷
takuan,食物3腌萝卜片
inarizushi,食物3稻荷寿司
feast,食物3盛宴
dim sum,食物3点心
okosama lunch,食物3okosama 儿童餐
conveyor belt sushi,食物3回转寿司
tamagokake gohan,食物3生蛋盖饭
sushi geta,食物3寿司板
sukiyaki,食物3寿喜烧
lunch,食物3午饭
zongzi,食物3粽子
fondue,食物3芝士火锅
cooking oil,食物3食用油
fish and chips,食物4炸鱼薯条
french toast,食物4法式吐司
unadon (food),食物4鳗丼
ribs (food),食物4排骨
tang yuan,食物4汤圆
megamac,食物4超级汉堡
shumai,食物4烧卖
stinky tofu,食物4臭豆腐
twice cooked pork,食物4回锅肉
katsu,食物4日式炸鸡排
katsudon,食物4日式猪排饭
konnyaku,食物4蒟蒻
milk,食物4牛奶
cream,食物4奶油
cheese,食物4芝士
milk bottle,食物4奶瓶
milk carton,食物4盒装牛奶
whipped cream,食物4打发的奶油
butter,食物4黄油
baby bottle,食物4婴儿奶瓶
milkshake,食物5奶昔
yogurt,食物5酸奶
yakult,食物5养乐多
milk churn,食物5牛奶周转桶
strawberry milk,食物5草莓牛奶
swiss cheese,食物5瑞士奶酪
condensed milk,食物5炼乳
chocolate milk,食物5巧克力牛奶
smoked cheese,食物5烟熏奶酪
kefir,食物5开菲尔
milk mustache,食物5牛奶小胡子
eggnog,食物5蛋酒
strawberry,食物5草莓
apple,食物5苹果
peach,食物5桃
watermelon,食物5西瓜
cherry,食物5樱桃
grapes,食物5葡萄
mandarin orange,食物5橘子
banana,食物5香蕉
lemon,食物6柠檬
lemon slice,食物6柠檬片
blueberry,食物6蓝莓
orange slice,食物6一片橙子
berry,食物6浆果
red apple,食物6红苹果
melon,食物6瓜
pineapple,食物6菠萝
raspberry,食物6树莓
fruit cup,食物6水果杯
banana peel,食物6香蕉皮
chocolate banana,食物6巧克力香蕉
persimmon,食物6柿子
golden apple,食物6金苹果
pear,食物6梨
lime slice,食物6青柠片
banana boat,食物6充气香蕉船
kiwi slice,食物6猕猴桃切片
pomegranate,食物6石榴
yuzu (fruit),食物6柚子（水果）
fruit bowl,食物7果盘
apple bunny,食物7苹果兔（苹果瓣一侧的果皮削去，像兔耳）
banana slice,食物7香蕉片
green apple,食物7青苹果
on banana,食物7在巨型香蕉上
olive,食物7橄榄
bitten apple,食物7咬苹果
mango,食物7芒果
apple core,食物7苹果核
umeboshi,食物7梅干
grapefruit,食物7西柚
cantaloupe,食物7哈密瓜
plum,食物7李子
lychee,食物7荔枝
avocado,食物7牛油果/鳄梨
apple peel,食物7长串苹果皮
fig,食物7无花果
orangette,食物7巧克力橙片
grape stomping,食物7脚踩葡萄汁
dragon fruit,食物7火龙果
banana popsicle,食物8香蕉冰棒
papaya,食物8番木瓜
muskmelon,食物8甜瓜
starfruit,食物8杨桃
gel banana,食物8绿色果冻香蕉（命运石之门）
cacao fruit,食物8可可果
currant,食物8小葡萄干
akebia fruit,食物8阿科比
mangosteen,食物8山竹
nashi pear,食物8黄金梨
gooseberry,食物8猕猴桃
rambutan,食物8红毛丹
blackberry,食物8黑莓
kiwi,食物8猕猴桃
lime,食物8青柠
honeydew,食物8蜜瓜
orange,食物8橙子
candy,食物8糖果
cake,食物8蛋糕
popsicle,食物8冰棒/棒冰
lollipop,食物9棒棒糖
chocolate,食物9巧克力
ice cream,食物9冰激凌
pocky,食物9百奇饼干
wagashi,食物9日式点心
doughnut,食物9甜甜圈
cookie,食物9曲奇饼
dango,食物9团子
heart,食物9
ice cream cone,食物9蛋卷冰淇淋
macaron,食物9马卡龙
cake slice,食物9分层蛋糕
candy apple,食物9糖苹果
chewing gum,食物9口香糖
parfait,食物9芭菲
mochi,食物9麻糬
cupcake,食物9纸杯蛋糕
candy cane,食物9糖果手杖
pudding,食物9布丁
pastry,食物9糕点
shaved ice,食物10刨冰
swirl lollipop,食物10漩涡棒棒糖
potato chips,食物10土豆片
taiyaki,食物10鲷鱼烧
birthday cake,食物10生日蛋糕
crepe,食物10绉
strawberry shortcake,食物10草莓奶油海绵蛋糕
chocolate bar,食物10巧克力棒
checkerboard cookie,食物10棋盘花纹的饼干
cotton candy,食物10棉花糖
pie,食物10馅饼
watermelon bar,食物10西瓜冰棍
sundae,食物10圣代
popcorn,食物10爆米花
youkan,食物10羊羹
icing,食物10糖霜
marshmallow,食物10棉花糖
soft serve,食物10软冰淇淋
chocolate cake,食物10巧克力蛋糕
ice cream float,食物10飘浮冰淇淋
popsicle stick,食物11冰棒棍
wafer stick,食物11晶圆卷
sprinkles,食物11小块彩色糖果
swiss roll,食物11瑞士卷
muffin,食物11松饼
tupet,食物11小喇叭
cream puff,食物11泡芙
double scoop,食物11双勺
gingerbread man,食物11姜饼人（一种曲奇饼）
chocolate cornet,食物11巧克力夹心
chocolate chip cookie,食物11巧克力片饼干
pastry box,食物11糕点盒
jelly bean,食物11糖果豆
konpeitou,食物11金平糖
chikuwa,食物11竹轮（食物）
sakura mochi,食物11樱花麻糬
cheesecake,食物11乳酪蛋糕
gelatin,食物11凝胶
french cruller,食物11螺旋脊状甜甜圈
apple pie,食物11苹果派
pretzel,食物12椒盐卷饼
mont blanc (food),食物12白山蛋糕
wafer,食物12冰淇淋脆片
shaped lollipop,食物12棒棒糖形状
strawberry parfait,食物12草莓冻糕
thumbprint cookie,食物12指纹特征数据
doritos,食物12多力多滋
umaibou,食物12美味棒
chupa chups,食物12珍宝珠
triple scoop,食物12三球冰淇淋
waffle cone,食物12华夫饼蛋筒
white chocolate,食物12白巧克力
pringles,食物12品客
oreo,食物12奥利奥
dorayaki,食物12铜锣烧
anpan,食物12红豆包
batter,食物12面糊
fruit tart,食物12水果馅饼
kashiwa mochi (food),食物12柏饼
sandwich cookie,食物12夹心饼干
mooncake,食物13月饼
kinoko no yama,食物13明治巧克力蘑菇饼干
chocolate doughnut,食物13巧克力甜甜圈
churro,食物13油条
layer cake,食物13千层蛋糕
dough,食物13面团
too many scoops,食物13过多的冰激凌甜筒
bugles,食物13号角
tanghulu,食物13糖葫芦
baumkuchen,食物13年轮蛋糕
christmas cake,食物13圣诞蛋糕
apollo chocolate,食物13阿波罗巧克力
old fashioned doughnut,食物13酥皮甜甜圈
eclair (food),食物13闪电泡芙
wedding cake,食物13婚礼蛋糕
anmitsu (dessert),食物13豆沙水果涼粉
cinnamon roll,食物13肉桂卷
ichigo daifuku,食物13草莓大福
gingerbread house,食物13姜饼屋
nerunerunerune,食物13nerunerunerune（糖果）
caramel,食物14焦糖
single scoop,食物14单球冰淇淋
chocolate fountain,食物14巧克力喷泉
strawberry tart,食物14草莓挞
kitkat,食物14奇巧
gumball,食物14口香糖球
tiramisu,食物14提拉米苏
yule log,食物14圣诞节原木
gingerbread cookie,食物14姜饼饼干
m&m's,食物14M&M's
toppo,食物14托普
custard,食物14卡仕达酱
ice cream sandwich,食物14冰淇淋三明治
cigarette candy,食物14香烟糖果
mille feuille,食物14千层酥
momiji manjuu,食物14红叶馒头
quadruple scoop,食物14四个球的冰淇淋蛋筒
madeleine,食物14玛德琳蛋糕
noppo bread,食物14noppo 面包
black forest cake,食物14黑森林蛋糕
pinata,食物15皮纳塔
pound cake,食物15磅蛋糕
stollen,食物15史多伦
banana split,食物15香蕉冰激凌
chitose ame,食物15千岁饴
imagawayaki,食物15今川烧
slushie,食物15冰沙
pudding a la mode,食物15法式布丁
country ma'am,食物15COUNTRY MA'AM
rare cheesecake,食物15生乳酪蛋糕
blueberry tart,食物15蓝莓馅饼
charlotte cake,食物15夏洛特蛋糕
marble chocolate,食物15大理石巧克力
red velvet cake,食物15红丝绒蛋糕
songpyeon,食物15松饼
coolish,食物15Coolish
warabimochi,食物15蕨饼
opera cake,食物15歌剧院蛋糕
sakura french,食物15樱花甜甜圈
namagashi,食物15生菓子
strawberry swiss roll,食物16草莓瑞士卷
mitsumame,食物16蜜豆
hot cross bun,食物16十字包
fondant au chocolat,食物16熔岩巧克力蛋糕
chocolate framboise,食物16巧克力红桑子莓
chocolate marquise,食物16女爵巧克力
bavarois,食物16巴伐利亚奶油
suama (food),食物16蘇阿馬
brownie,食物16巧克力布朗尼
creme egg,食物16鸡蛋奶油
tootsweets,食物16甜甜圈
takenoko no sato,食物16明治巧克力竹笋饼干
tart,食物16果馅饼
uirou,食物16外郎饼
chips,食物16薯片
fish,食物16鱼
egg,食物16蛋
crab,食物16螃蟹
chicken,食物16鸡
fried egg,食物16煎鸡蛋
shrimp,食物17虾类
boned meat,食物17圆柱形带骨肉
sausage,食物17香肠
steak,食物17牛排
egg laying,食物17产卵
fish bone,食物17鱼骨
bacon,食物17培根
fried chicken,食物17炸鸡
kebab,食物17烤肉串
eggshell,食物17蛋壳
chicken leg,食物17鸡腿
tako san wiener,食物17章鱼状的香肠
kamaboko,食物17鱼糕
lobster,食物17龙虾
egg yolk,食物17蛋黄
hamburger steak,食物17汉堡牛排
sashimi,食物17生鱼片
yakitori,食物17烤鸡肉串
meatball,食物17肉丸
gyuudon,食物17牛丼
hardboiled egg,食物18水煮蛋
roe,食物18鱼子
ham,食物18火腿
chicken nuggets,食物18鸡块
broken egg,食物18破碎的蛋
eggshell hat,食物18蛋壳帽子
pork,食物18猪肉
turkey,食物18火鸡
turkey leg,食物18火鸡腿
scrambled egg,食物18炒鸡蛋
caviar,食物18鱼子酱
century egg (food),食物18皮蛋
katsuo no tataki,食物18炙烤鲣鱼片
kani,食物18蟹状的香肠
ikura,食物18红鱼子酱
jack o lantern,食物18南瓜灯
carrot,食物18胡萝卜
pumpkin,食物18南瓜
mushroom,食物18蘑菇
spring onion,食物18大葱
tomato,食物19番茄
sweet potato,食物19红薯
cucumber,食物19黄瓜
eggplant,食物19茄子
potato,食物19土豆
lettuce,食物19生菜
beans,食物19豆子
corn,食物19玉米
seaweed,食物19海藻
coconut,食物19椰子
onion,食物19洋葱
radish,食物19萝卜
cabbage,食物19卷心菜
chili pepper,食物19辣椒
broccoli,食物19西兰花
daikon,食物19萝卜
yakiimo,食物19烤白薯
pepper,食物19胡椒
mint,食物19薄荷
chestnut,食物19板栗
cherry tomato,食物20圣女果（小西红柿
bell pepper,食物20灯笼椒
nattou,食物20纳豆
turnip,食物20芜菁
peanut,食物20花生
garlic,食物20大蒜
pickle,食物20泡菜
habanero pepper,食物20哈瓦那辣椒
bitter melon,食物20苦瓜
squash,食物20南瓜属
asparagus,食物20芦笋
red bean paste,食物20红豆馅
onion rings,食物20洋葱圈
almond,食物20扁桃
parsley,食物20欧芹
green pepper,食物20青椒
cauliflower,食物20菜花
bok choy,食物20白菜
red pepper,食物20红椒
jalapeno pepper,食物20墨西哥辣椒
kimchi,食物21韩国泡菜
warabi,食物21蕨
yellow pepper,食物21黄椒
hijiki,食物21羊栖菜
nori,食物21海苔
ketchup,食物21番茄酱
honey,食物21蜂蜜
sugar cube,食物21方糖
syrup,食物21果酱
soy sauce,食物21酱油
jam,食物21果酱
sauce,食物21酱汁
mayonnaise,食物21蛋黄酱
salt shaker,食物21撒盐瓶子
chocolate syrup,食物21巧克力酱
mustard,食物21芥末
pepper shaker,食物21胡椒
wasabi,食物21芥末
hot sauce,食物21辣酱
sugar (food),食物21粉状糖（食物）
strawberry syrup,食物22草莓酱
peanut butter,食物22花生酱
marmalade,食物22果酱/橘子酱
furikake,食物22拌饭素
bread,食物22面包
rice,食物22米饭
onigiri,食物22饭团
noodles,食物22面条
pancake,食物22煎饼
ramen,食物22拉面
toast,食物22吐司
omurice,食物22蛋包饭
baguette,食物22法棍
cup ramen,食物22杯面
pasta,食物22意大利面
rice on face,食物22脸上有米饭
japari bun,食物22加帕里面包（兽娘动物园）
melon bread,食物22菠萝包
spaghetti,食物22意大利面
pancake stack,食物22煎饼堆
senbei,食物23仙贝
croissant,食物23羊角面包
udon,食物23乌冬面
fried rice,食物23炒饭
waffle,食物23华夫饼干
yakisoba,食物23炒面
cracker,食物23饼干
soba,食物23荞麦
scone,食物23烤饼
bread bun,食物23面包包子
bread eating race,食物23吃面包比赛（咬住面包跑到终点）
cereal,食物23谷物早餐
kitsune udon,食物23狐狸乌冬面
yakisobapan,食物23炒面面包
biscuit (bread),食物23饼干（面包）
spaghetti and meatballs,食物23肉丸意大利面
soumen,食物23素麺（面条 食物）
jirou (ramen),食物23堆高的豚骨拉面
rice porridge,食物23稀饭
lasagne,食物23千层面
bread crust,食物24面包皮
nanakusa no sekku,食物24喝七草粥的日子
black spaghetti,食物24黑色意大利面
empanada,食物24恩巴纳达
risotto,食物24烩饭
italian (niigata),食物24意大利面（新潟）
arare,食物24粗米饼
alcohol,食物24酒精
tea,食物24茶
beer,食物24啤酒
sake,食物24日本酒
coffee,食物24咖啡
wine,食物24葡萄酒
soda can,食物24汽水罐
bubble tea,食物24珍珠奶茶
ramune,食物24ramune 波子汽水
coca cola,食物24可口可乐
tropical drink,食物24热带特色的饮料
champagne,食物24香槟酒
soda,食物24苏打
cocktail,食物25鸡尾酒
starbucks,食物25星巴克
green tea,食物25绿茶
juice,食物25果汁
whiskey,食物25威士忌酒
canned coffee,食物25罐装咖啡
vodka,食物25伏特加
orange juice,食物25橙汁
pepsi,食物25百事可乐
liquor,食物25酒
coffee beans,食物25咖啡豆
dr pepper,食物25Dr Pepper
black tea,食物25红茶
cocktail umbrella,食物25鸡尾酒伞
blue hawaii,食物25蓝色夏威夷（鸡尾酒）
melon soda,食物25绿色苏打水
lemonade,食物25柠檬汽水
latte art,食物25咖啡拉花
iced tea,食物25冰茶
fanta,食物25芬达
martini,食物26马提尼酒
mountain dew,食物26激浪（饮料）
calpis,食物26Calpis
milk tea,食物26奶茶
tequila,食物26龙舌兰酒
georgia max coffee,食物26Georgia MAX Coffee
pepsi ice cucumber,食物26黄瓜味百事可乐
margarita,食物26玛格丽塔
root beer,食物26根汁啤酒
guinness (beer),食物26健力士黑啤酒(啤酒)
7up,食物267up
barley tea,食物26燕麦茶
rose hip tea,食物26茉莉花茶
cafe au lait,食物26咖啡加牛奶
earl grey tea,食物26伯爵茶
darjeeling tea,食物26达吉岭茶
herbal tea,食物26草药茶
non alcoholic beer,食物26非酒精啤酒
caesar (drink),食物26凯撒鸡尾酒
dandelion coffee,食物26蒲公英咖啡
spear mint tea,食物27薄荷茶
amazake,食物27甘酒
sword,物品1刀
gun,物品1枪
umbrella,物品1伞
chair,物品1椅子
backpack,物品1背包
microphone,物品1麦克风
handgun,物品1手枪
teacup,物品1茶杯
cigarette,物品1香烟
ofuda,物品1札符
chopsticks,物品1筷子
camera,物品1相机
wand,物品1魔杖
gohei,物品1御币
guitar,物品1吉他
scythe,物品1镰刀
dagger,物品1匕首/短剑
yin yang,物品1阴阳
whip,物品1鞭
riding crop,物品1马鞭
piano,物品2钢琴
crease,物品2起皱
weapons,物品2武器
arrow,物品2箭
lantern/lamp,物品2灯笼
